emp_no,first_name,last_name,salary,title
10001,Georgi,Facello,60117,Senior Engineer
10004,Chirstian,Koblick,40054,Senior Engineer
10005,Kyoichi,Maliniak,78228,Staff
10006,Anneke,Preusig,40000,Senior Engineer
10009,Sumant,Peac,60929,Senior Engineer
10011,Mary,Sluis,42365,Staff
10018,Kazuhide,Peha,55881,Senior Engineer
10019,Lillian,Haddadi,44276,Staff
10020,Mayuko,Warwick,40000,Engineer
10022,Shahaf,Famili,40000,Engineer
10023,Bojan,Montemayor,47883,Engineer
10026,Yongqiao,Berztiss,47585,Engineer
10035,Alain,Chappelet,41538,Senior Engineer
10047,Zvonko,Nyanchama,54982,Engineer
10051,Hidefumi,Caine,48817,Senior Engineer
10053,Sanjiv,Zschoche,67854,Senior Staff
10057,Ebbe,Callaway,49616,Engineer
10058,Berhard,McFarlin,52787,Senior Staff
10059,Alejandro,McAlpine,71218,Senior Staff
10063,Gino,Leonhardt,40000,Senior Engineer
10066,Kwee,Schusler,69736,Senior Engineer
10067,Claudi,Stavenow,44642,Engineer
10070,Reuven,Garigliano,55999,Technique Leader
10072,Hironoby,Sidou,40000,Senior Engineer
10073,Shir,McClurg,56473,Engineer
10074,Mokhtar,Bernatsky,61714,Technique Leader
10076,Erez,Ritzmann,47319,Senior Engineer
10088,Jungsoon,Syrzycki,65957,Senior Staff
10091,Amabile,Gomatam,40000,Senior Engineer
10096,Jayson,Mandell,61395,Engineer
10097,Remzi,Waschkowski,44886,Senior Staff
10100,Hironobu,Haraldson,54398,Senior Staff
10101,Perla,Heyers,66591,Staff
10103,Akemi,Birch,68158,Engineer
10106,Eben,Aingworth,62928,Engineer
10108,Lunjin,Giveon,40000,Staff
10116,Dayanand,Czap,44034,Senior Engineer
10126,Kayoko,Valtorta,40000,Senior Staff
10127,Subir,Baja,40000,Senior Engineer
10129,Armond,Peir,40000,Technique Leader
10130,Nishit,Casperson,40000,Senior Engineer
10131,Magdalena,Eldridge,48475,Engineer
10134,Diederik,Siprelle,40000,Engineer
10138,Perry,Shimshoni,53574,Senior Engineer
10149,Xiadong,Perry,88740,Staff
10150,Zhenbing,Perng,70122,Engineer
10152,Jaques,Munro,40000,Engineer
10153,Heekeun,Majewski,54246,Assistant Engineer
10157,Nigel,Aloisi,48770,Senior Engineer
10159,Serif,Buescher,52881,Senior Engineer
10160,Debatosh,Khasidashvili,91622,Senior Staff
10161,Hairong,Mellouli,43149,Engineer
10163,Karsten,Szmurlo,41603,Senior Staff
10166,Samphel,Siegrist,51586,Engineer
10177,Pragnesh,Iisaka,48041,Staff
10183,Mechthild,Bonifati,40000,Staff
10186,Shigehito,Kropatsch,40000,Staff
10189,Khalid,Erva,41222,Engineer
10194,Josyula,Hofmeyr,64941,Senior Staff
10196,Marc,Hellwagner,86671,Staff
10198,Pranav,Furedi,44076,Engineer
10203,Steen,Escriba,40000,Staff
10205,Mabhin,Leijenhorst,40000,Senior Engineer
10207,Girolamo,Anandan,52783,Senior Engineer
10215,Xiaobin,Duclos,43944,Senior Staff
10217,Yongmin,Roison,40000,Technique Leader
10219,Genta,Kolvik,40000,Senior Staff
10224,Leon,Trogemann,40000,Engineer
10228,Karoline,Cesareni,79474,Senior Staff
10229,Ulises,Takanami,58321,Engineer
10230,Clyde,Vernadat,47531,Staff
10233,Lein,Vendrig,40000,Staff
10237,Yannis,Mandell,100715,Senior Staff
10239,Nikolaos,Llado,65146,Staff
10240,Remko,Maccarone,73874,Engineer
10248,Frederique,Tempesti,58918,Senior Staff
10249,Marie,Boreale,72192,Engineer
10258,Basil,Ishibashi,66280,Senior Engineer
10262,Mahendra,Maraist,63005,Staff
10272,Yishai,Cannane,58070,Staff
10278,Lubomir,Nitsch,51703,Engineer
10281,Moty,Kusakari,46123,Engineer
10282,Hercules,Benzmuller,40000,Engineer
10283,Kauko,Birjandi,40000,Engineer
10284,Masali,Murrill,40000,Engineer
10286,Saddek,Gopalakrishnan,40000,Staff
10294,Rutger,Miara,66448,Senior Engineer
10295,Kristine,Velardi,46398,Senior Staff
10298,Dietrich,DuCasse,40000,Staff
10302,Faiza,Baer,58239,Senior Staff
10305,Hirochika,Piancastelli,52550,Engineer
10306,Heng,Kilgour,44229,Staff
10307,Nikolaos,Leaver,40000,Engineer
10321,Guenter,Ravishankar,86819,Staff
10322,Isamu,Dahlbom,41968,Engineer
10325,Arunachalam,Badr,44325,Senior Staff
10326,Masali,Czap,40000,Staff
10327,Roded,Facello,54734,Engineer
10328,Serenella,Kawashima,46286,Engineer
10333,Snehasis,Dymetman,45141,Engineer
10340,Djelloul,Laventhal,68132,Senior Staff
10343,Dinah,Syrzycki,40000,Senior Engineer
10347,Pradeep,Kaminger,42199,Staff
10349,Oksana,Brodie,47518,Senior Staff
10350,Kristen,Kavvadias,41213,Engineer
10353,Phule,Hammerschmidt,62656,Senior Staff
10355,Satyanarayana,Cochrane,70434,Staff
10356,Vasilis,Standera,45376,Senior Staff
10358,Qunsheng,Tagansky,63243,Technique Leader
10363,Toshiki,Muniz,40401,Assistant Engineer
10364,Nakhoon,Dengi,51401,Senior Engineer
10367,Hyuckchul,Gini,63565,Senior Staff
10372,Anneli,Frijda,54505,Technique Leader
10374,Willard,Rosin,69568,Staff
10377,Marl,Grospietsch,40000,Senior Engineer
10382,Shirish,Dredge,45785,Engineer
10387,Parto,Wrigley,61374,Staff
